distancia_km,pasajeros,hora_recoleccion,zona_origen,zona_destino,duracion_minutos
2.8646252,1,14,95,95,9.766666666666667
2.5588506,1,8,74,75,15.45
6.276426,1,12,24,141,32.7
3.7014819999999995,1,18,74,236,9.616666666666667
3.5244546,2,16,74,151,18.833333333333332
10.782578,2,16,75,249,32.083333333333336
11.3780338,5,0,7,95,11.483333333333333
2.4622902,2,8,74,75,11.883333333333333
10.0905618,1,22,166,137,21.033333333333335
1.8990212,2,18,65,189,8.733333333333333
3.2669601999999998,1,12,166,42,13.416666666666666
0.9173237999999999,1,14,82,82,3.45
1.0782578,1,9,41,41,5.05
8.288101000000001,1,13,75,137,18.066666666666666
1.1265379999999998,1,13,24,238,3.45
1.448406,1,6,74,42,8.116666666666667
5.2947286,1,23,66,17,17.116666666666667
2.41401,1,17,74,75,8.75
2.0438618,1,12,74,194,4.8
0.9334172,1,14,65,25,7.15
2.092142,1,9,74,42,9.1
5.9867448,1,14,82,138,7.666666666666667
5.552223000000001,1,21,181,114,14.5
1.2552852,1,15,166,142,42.516666666666666
14.307032600000001,1,11,191,130,51.21666666666667
2.816345,5,9,74,236,12.033333333333333
7.000628999999999,1,19,74,230,20.0
1.8507409999999997,1,18,95,95,7.583333333333333
19.633948,2,13,166,93,36.38333333333333
4.506151999999999,1,12,74,238,16.933333333333334
10.4124298,1,11,74,48,28.133333333333333
1.60934,1,15,74,42,7.5
1.9151146,3,16,95,95,9.75
5.4073823999999995,1,14,43,236,21.283333333333335
6.1315854,1,22,74,142,16.083333333333332
18.1372618,1,9,74,138,46.5
2.5749440000000003,1,8,116,247,7.483333333333333
0.5149888,1,5,116,116,2.05
2.2852628,1,6,74,43,8.466666666666667
3.2025866,1,14,82,260,9.166666666666666
3.8141358000000003,1,21,75,239,10.266666666666667
12.1183302,2,16,33,45,29.9
3.4761744,1,15,95,135,15.566666666666666
2.5266638,1,17,74,236,12.766666666666667
2.6071308,1,8,74,75,11.633333333333333
3.6853886,1,8,43,262,15.383333333333333
5.0211408,1,17,66,181,28.033333333333335
6.115492,1,12,74,142,16.033333333333335
4.586619,1,8,74,262,9.083333333333334
1.2713786,1,16,75,263,6.316666666666666
5.3269154,1,22,65,225,19.583333333333332
1.7702740000000001,1,20,82,129,12.0
2.3335429999999997,1,11,43,74,13.05
5.2625418,2,9,75,163,20.116666666666667
4.667085999999999,1,23,145,130,25.833333333333332
4.0394434,1,18,74,238,16.45
2.1404222,1,23,95,102,6.016666666666667
4.1199104,1,20,74,236,11.716666666666667
2.0438618,1,11,41,42,7.616666666666666
2.2852628,1,14,43,151,8.683333333333334
14.950768599999998,2,11,260,197,19.333333333333332
7.161563,1,19,97,83,26.366666666666667
3.21868,1,17,74,166,14.516666666666667
3.8463226,2,17,95,121,17.2
0.7563898,1,19,17,217,7.683333333333334
1.1909116,1,8,42,247,3.2333333333333334
2.816345,1,11,74,236,12.266666666666667
1.7863674,1,15,74,74,13.166666666666666
4.5222454,1,16,74,238,21.65
1.6737136000000001,1,16,43,238,6.6
4.3774048,1,1,258,130,12.95
2.816345,1,16,75,141,9.833333333333334
2.5105704,1,16,97,49,14.633333333333333
0.9012304000000001,1,13,82,82,3.783333333333333
2.4622902,1,18,74,43,8.516666666666667
2.4301034,1,17,74,152,13.95
8.3363812,1,6,197,132,13.283333333333333
3.4118008,1,15,7,202,15.783333333333333
4.8602068,1,18,75,42,17.666666666666668
5.6165966,1,17,74,239,17.416666666666668
15.9485594,2,16,75,33,43.05
4.425685,1,22,97,195,15.05
10.3963364,5,7,166,90,29.716666666666665
2.4622902,1,12,95,93,6.15
11.6999018,1,16,244,246,21.1
3.7014819999999995,3,17,74,238,14.85
4.0555368,1,20,75,140,10.6
4.007256600000001,1,10,146,163,10.916666666666666
2.1404222,1,7,74,41,9.666666666666666
3.2347733999999995,1,17,95,197,26.433333333333334
1.1265379999999998,2,0,244,116,3.1166666666666667
3.2991469999999996,1,17,43,239,10.416666666666666
17.477432399999998,1,9,95,249,34.95
2.5749440000000003,1,19,75,140,11.333333333333334
4.9728606,1,10,244,243,12.733333333333333
3.8624159999999996,1,10,74,263,17.966666666666665
1.2230984,1,7,74,74,4.716666666666667
1.6254334,1,6,74,75,5.433333333333334
4.3291246,2,17,74,116,19.2
5.037234199999999,1,23,130,218,14.016666666666667
1.7219938000000001,1,18,134,134,8.9
2.6715044,1,13,74,75,13.433333333333334
2.3979166,1,9,236,263,8.6
2.2530759999999996,1,19,75,74,5.9
0.8529502,1,14,41,41,2.55
4.2647509999999995,6,12,75,143,12.95
1.3196588,5,18,95,95,7.683333333333334
2.172609,1,15,75,74,4.583333333333333
2.6715044,6,13,75,151,9.633333333333333
1.3196588,1,17,97,181,10.983333333333333
3.8302292,1,16,74,151,14.833333333333334
3.781949,1,13,41,236,13.433333333333334
4.1199104,1,16,75,143,18.75
3.0899327999999997,1,17,65,17,17.866666666666667
3.21868,1,13,116,24,11.983333333333333
3.5566413999999997,4,8,24,236,14.9
3.7658555999999996,1,20,95,135,11.033333333333333
3.781949,1,16,74,262,15.35
5.037234199999999,1,11,97,217,17.45
3.379614,1,20,74,236,11.25
3.942883,1,16,41,263,13.6
3.2025866,1,8,152,151,6.016666666666667
4.9245804,1,16,74,262,13.683333333333334
1.5127796,2,17,75,236,4.6
1.2874720000000002,1,15,75,263,5.55
8.9962106,1,22,25,37,40.21666666666667
5.1177012,1,17,74,239,20.816666666666666
2.5427572,1,18,97,17,12.483333333333333
2.2530759999999996,1,8,74,74,11.583333333333334
4.184284,2,13,74,238,15.883333333333333
0.9495106,1,19,97,25,4.683333333333334
5.9384646,1,9,82,138,9.45
1.60934,1,10,42,159,6.466666666666667
3.7014819999999995,1,8,74,75,14.816666666666666
2.5910374000000003,1,9,74,166,14.233333333333333
3.1864932,1,5,74,43,9.6
2.896812,1,8,74,166,13.45
3.9267895999999998,1,22,74,262,7.7
6.0028382,1,17,82,226,23.35
9.623853200000001,1,19,66,170,16.916666666666668
5.552223000000001,1,21,74,244,8.85
5.6648768,1,13,82,138,7.933333333333334
1.9633947999999999,1,16,134,135,5.15
3.5888282,1,14,95,82,34.05
1.7702740000000001,1,20,43,236,7.516666666666667
1.5127796,1,8,75,236,7.183333333333334
15.127796,1,10,223,130,17.066666666666666
4.3291246,1,20,130,10,13.533333333333333
1.3840324,1,13,75,74,4.05
1.9312079999999998,1,20,82,196,11.916666666666666
4.9245804,1,0,130,216,14.266666666666667
4.3613114,1,18,43,43,19.466666666666665
3.2025866,1,16,42,41,13.25
2.4622902,1,13,74,152,10.4
6.8557884,1,6,74,140,17.083333333333332
3.6371084,1,19,97,17,15.516666666666667
6.598293999999999,1,8,262,170,19.233333333333334
3.5566413999999997,5,14,75,162,19.616666666666667
1.8346475999999998,5,7,74,42,10.05
16.3508944,1,10,130,129,23.733333333333334
1.448406,2,11,24,238,7.583333333333333
2.816345,1,15,97,49,14.566666666666666
4.5544322,1,13,263,140,14.083333333333334
9.1088644,1,14,55,55,27.95
6.2442392,1,17,83,138,13.633333333333333
5.9545580000000005,1,23,255,211,21.183333333333334
4.6509926,1,17,82,70,14.1
2.41401,1,11,74,75,9.8
2.655411,1,14,41,75,18.666666666666668
1.9633947999999999,1,17,43,263,7.533333333333333
1.7219938000000001,1,17,43,238,6.866666666666666
3.6853886,1,16,74,151,11.233333333333333
1.9633947999999999,1,16,75,74,4.683333333333334
4.02335,1,19,74,116,17.166666666666668
4.1360038,1,17,74,141,15.35
2.5105704,1,20,75,237,9.75
6.7270411999999995,2,16,66,43,42.18333333333333
2.3174495999999998,1,17,75,262,9.8
4.345218,1,20,74,237,13.35
2.9772790000000002,1,20,166,75,10.566666666666666
2.7519714,1,15,74,236,12.416666666666666
2.9933724,1,13,75,237,13.4
1.7863674,1,14,74,41,8.316666666666666
2.9289988,1,19,74,24,12.066666666666666
